person,province,party,age,age_range,gender
MANANA JOYCE SELAPISA,NORTH WEST,INKATHA FREEDOM PARTY,37,less than 39,Female
CHAFIK JAMARI,WESTERN CAPE,INKATHA FREEDOM PARTY,39,39 - 59,Male
RICARDO SEDRES,WESTERN CAPE,INKATHA FREEDOM PARTY,28,less than 39,Male
PHANGWENI SARAH MABUNDA,GAUTENG,MOVEMENT DEMOCRATIC PARTY,56,39 - 59,Female
KHAZAMULA ELIAS BILA,LIMPOPO,MOVEMENT DEMOCRATIC PARTY,48,39 - 59,Male
JOSEPH ISAKA TLHOAELE,NORTH WEST,MOVEMENT DEMOCRATIC PARTY,39,39 - 59,Male
RICHARD JOHN PETERSEN,EASTERN CAPE,NATIONAL DEMOCRATIC CONVENTION,48,39 - 59,Male
THEMBA FREDDY MBUTHO,FREE STATE,NATIONAL DEMOCRATIC CONVENTION,52,39 - 59,Male
BENNETT NGAKANANI NKABINDE,GAUTENG,NATIONAL DEMOCRATIC CONVENTION,47,39 - 59,Male
SIBUSISO ERIC NDLELA,KWAZULU-NATAL,NATIONAL DEMOCRATIC CONVENTION,46,39 - 59,Male
OBAKENG NICOLUS MOOKI,MPUMALANGA,NATIONAL DEMOCRATIC CONVENTION,31,less than 39,Male
OUPA KHAILEP RAKUBA,NORTH WEST,NATIONAL DEMOCRATIC CONVENTION,53,39 - 59,Male
MABLE TLOU SETJIE,EASTERN CAPE,NEW VISION PARTY,28,less than 39,Female
MORENA JOSEPH MAHAMOTSA,EASTERN CAPE,NEW VISION PARTY,54,39 - 59,Male
ESAIA MOTLOUNG,FREE STATE,NEW VISION PARTY,60,60 - 79,Male
MODIKE DINAH PHASHA,FREE STATE,NEW VISION PARTY,30,less than 39,Female
CHRISTINAH MOSHIANE MABOGOANE,FREE STATE,NEW VISION PARTY,30,less than 39,Female
MATOME ISAAC MANOKWANA,FREE STATE,NEW VISION PARTY,29,less than 39,Male
SELLO WILLIS MOKOENA,FREE STATE,NEW VISION PARTY,44,39 - 59,Male
THOKO WELHEMINAH MAENETJA,FREE STATE,NEW VISION PARTY,38,less than 39,Female
KOENA WILSON MOLOPE,FREE STATE,NEW VISION PARTY,42,39 - 59,Male
MAKOENA JERRY SEEMA,FREE STATE,NEW VISION PARTY,46,39 - 59,Male
MANKHOLO JOSEPH LEDWABA,FREE STATE,NEW VISION PARTY,58,39 - 59,Male
HAROLD PHUTI MPJANA,FREE STATE,NEW VISION PARTY,38,less than 39,Male
SONTAGA CONTY LEBEPE,GAUTENG,NEW VISION PARTY,26,less than 39,Male
MASEFAKO CAROL MAKGABO,GAUTENG,NEW VISION PARTY,46,39 - 59,Female
TSHIVHANGWAHO ROBERT RAMADI,KWAZULU-NATAL,NEW VISION PARTY,59,39 - 59,Male
ROBERT MASHUDI RAMADI,KWAZULU-NATAL,NEW VISION PARTY,28,less than 39,Male
MAKOSHA CONFIDENCE PHOOKO,KWAZULU-NATAL,NEW VISION PARTY,34,less than 39,Female
SEGABELWANE PHILEMON RAMOGAYANA,KWAZULU-NATAL,NEW VISION PARTY,52,39 - 59,Male
NGWANAMABOWANE RAMOGAYANA,KWAZULU-NATAL,NEW VISION PARTY,35,less than 39,Female
MALESELA EPHRAIM LEKGOTHOANE,MPUMALANGA,NEW VISION PARTY,41,39 - 59,Male
MMAMONAKE EVA TSHEBESEBE,MPUMALANGA,NEW VISION PARTY,50,39 - 59,Female
MATSOBANE PHILIPUS MELLO,MPUMALANGA,NEW VISION PARTY,57,39 - 59,Male
RAMASELA MARTHA MALLA,MPUMALANGA,NEW VISION PARTY,45,39 - 59,Female
LULU CAROLINE MOROPA,MPUMALANGA,NEW VISION PARTY,36,less than 39,Female
LESIBA HENDRICK BALOYI,MPUMALANGA,NEW VISION PARTY,32,less than 39,Male
MMAPITSI LESTERINA LETSOALO,MPUMALANGA,NEW VISION PARTY,26,less than 39,Female
LESIBA EDWARD KOTLOLO,MPUMALANGA,NEW VISION PARTY,29,less than 39,Male
MADIMETJA GEOFFREY MOLOMO,MPUMALANGA,NEW VISION PARTY,41,39 - 59,Male
KGABO JUSTINOS MOKOELE,NORTHERN CAPE,NEW VISION PARTY,32,less than 39,Male
REBOTILE MATSHENGWANE MASHILO,NORTHERN CAPE,NEW VISION PARTY,28,less than 39,Female
POKA MERIAM CHAUKE,NORTHERN CAPE,NEW VISION PARTY,26,less than 39,Female
SENGANGELE DAPHNEY DIGASHU,NORTHERN CAPE,NEW VISION PARTY,32,less than 39,Female
MATSOBANE HENDRICK LEHUTSO,NORTHERN CAPE,NEW VISION PARTY,68,60 - 79,Male
CHUENE ANDRIES MABALA,NORTHERN CAPE,NEW VISION PARTY,48,39 - 59,Male
MZAMANE WILLIAM MASHELE,NORTHERN CAPE,NEW VISION PARTY,54,39 - 59,Male
RAMATSOBANE DAISY SEBUA,NORTHERN CAPE,NEW VISION PARTY,49,39 - 59,Female
MACHOENE MARTIN SEPHOKA,NORTHERN CAPE,NEW VISION PARTY,40,39 - 59,Male
PHU SOLOMON NGWEPE,LIMPOPO,NEW VISION PARTY,67,60 - 79,Male
NGAKO DAVID SETJIE,LIMPOPO,NEW VISION PARTY,46,39 - 59,Male
MOSIMA MELINE BOPAPE,LIMPOPO,NEW VISION PARTY,47,39 - 59,Female
MOTSWAKO JAMES MALAPANE,LIMPOPO,NEW VISION PARTY,50,39 - 59,Male
MALAYA WINNIE MOABELO,LIMPOPO,NEW VISION PARTY,38,less than 39,Female
LINAH MMAPELA MAUPI,LIMPOPO,NEW VISION PARTY,36,less than 39,Female
MOKGANYETSE ANNAH BAPELA,LIMPOPO,NEW VISION PARTY,55,39 - 59,Female
RAMAESELA SINAH NCHABELENG,LIMPOPO,NEW VISION PARTY,47,39 - 59,Female
TOLOKA SAMUEL MASHILO,LIMPOPO,NEW VISION PARTY,33,less than 39,Male
MAKUPANE EVA MASHILO,LIMPOPO,NEW VISION PARTY,39,39 - 59,Female
MACHOENE MARIA MAHWIBILA,LIMPOPO,NEW VISION PARTY,38,less than 39,Female
RAMASELA STEPHINA RAKOBELA,LIMPOPO,NEW VISION PARTY,28,less than 39,Female
MALEFO DORA MALATJI,LIMPOPO,NEW VISION PARTY,38,less than 39,Female
KGABO ABSINAH MOJELA,LIMPOPO,NEW VISION PARTY,37,less than 39,Female
JEFFREY FOURRIE MALATJI,LIMPOPO,NEW VISION PARTY,35,less than 39,Male
KGAUGELO MARIA MOLEYA,LIMPOPO,NEW VISION PARTY,36,less than 39,Female
MAHLODI CYLIA SEOPANE,LIMPOPO,NEW VISION PARTY,26,less than 39,Female
SETLABO JUDAS MAKGOBA,LIMPOPO,NEW VISION PARTY,23,less than 39,Male
MAPULA MERIAM RAMORASWI,LIMPOPO,NEW VISION PARTY,47,39 - 59,Female
HULLEKEN MATLOU PHASHA,LIMPOPO,NEW VISION PARTY,35,less than 39,Female
SERUWE LYTTON NTLADI,LIMPOPO,NEW VISION PARTY,51,39 - 59,Male
MAKELEPE ALFRED THOBANE,LIMPOPO,NEW VISION PARTY,38,less than 39,Male
KEABETSWE DORCUS MAIFO,LIMPOPO,NEW VISION PARTY,43,39 - 59,Female
MPHEGWANA DIANAH MOKWANA,LIMPOPO,NEW VISION PARTY,36,less than 39,Female
MAIME VINCENT MAESELA,LIMPOPO,NEW VISION PARTY,32,less than 39,Male
RALETJATJI WILLIAM MPHAHLELE,LIMPOPO,NEW VISION PARTY,32,less than 39,Male
MASILO PATRICK SETJIE,LIMPOPO,NEW VISION PARTY,23,less than 39,Male
PHINA MASHOTSA,LIMPOPO,NEW VISION PARTY,20,less than 39,Female
MAPOTLE AGNES MAHLAGAUME,LIMPOPO,NEW VISION PARTY,36,less than 39,Female
FLORAH WELLEMINAH BALOYI-MABASA,LIMPOPO,NEW VISION PARTY,39,39 - 59,Female
PETRUS MAPHALE SHAKU,LIMPOPO,NEW VISION PARTY,47,39 - 59,Male
HUNADI EMARIEL NCHABELENG,LIMPOPO,NEW VISION PARTY,31,less than 39,Female
LIVHUANI ELVIS MADZUVHANI,LIMPOPO,NEW VISION PARTY,24,less than 39,Male
ELIZABETH MMATHETE MOLOKOMME,LIMPOPO,NEW VISION PARTY,31,less than 39,Female
MAVIS MOKGADI MAHUMA,LIMPOPO,NEW VISION PARTY,30,less than 39,Female
MAHLODI SUZAN MANTHATA,LIMPOPO,NEW VISION PARTY,38,less than 39,Female
MANXWALO JANE MASEMOLA,LIMPOPO,NEW VISION PARTY,50,39 - 59,Female
MORETE EVELINE RAMASHALA,LIMPOPO,NEW VISION PARTY,36,less than 39,Female
MALESELA HARRY MARAKALLA,LIMPOPO,NEW VISION PARTY,66,60 - 79,Male
ISAAC MATSOBANE BOYA,LIMPOPO,NEW VISION PARTY,37,less than 39,Male
MABALA MOLLET PHOGOLE,LIMPOPO,NEW VISION PARTY,45,39 - 59,Male
MAFEMANI THOMAS BALOYI,LIMPOPO,NEW VISION PARTY,38,less than 39,Male
KHAUKANANI MUTHUMUNI,LIMPOPO,NEW VISION PARTY,36,less than 39,Male
BERNARD RASIMPHI,LIMPOPO,NEW VISION PARTY,23,less than 39,Male
VICTORIA PHOLISI SELOLO,LIMPOPO,NEW VISION PARTY,41,39 - 59,Female
NKGAPI MONICA MOGALE,LIMPOPO,NEW VISION PARTY,37,less than 39,Female
COLLEN BALOYI,LIMPOPO,NEW VISION PARTY,23,less than 39,Male
KATISHI JIMMY KOMANE,LIMPOPO,NEW VISION PARTY,40,39 - 59,Male
MATSEBE HARRISON MABOTHA,LIMPOPO,NEW VISION PARTY,41,39 - 59,Male
MMANOKO UNITY GENEVEEVE KGAFFE,NORTH WEST,NEW VISION PARTY,27,less than 39,Female
CHAINEY ELIAS MAKGOATHANE,NORTH WEST,NEW VISION PARTY,59,39 - 59,Male
HIOPEGO MARIA LEOLA,NORTH WEST,NEW VISION PARTY,26,less than 39,Female
CAROLINE MATSHIDISO MOATSHE,NORTH WEST,NEW VISION PARTY,44,39 - 59,Female
RAMADIMETJA SOPHY MARAKALALA,NORTH WEST,NEW VISION PARTY,27,less than 39,Female
MASAKANENG KHOMOTSO LEPHOTO,NORTH WEST,NEW VISION PARTY,34,less than 39,Female
MMULE EPHENIAH KGATLE,NORTH WEST,NEW VISION PARTY,51,39 - 59,Female
MOTEBEDI WILLIAM MASHAMAITE,NORTH WEST,NEW VISION PARTY,58,39 - 59,Male
NOMANGESI GLORIA NYAKAMBI,WESTERN CAPE,NEW VISION PARTY,40,39 - 59,Female
PHATHISWA NCUKANA,WESTERN CAPE,NEW VISION PARTY,41,39 - 59,Female
SEBENZILE SEMZINI JUSTICE MTULI,WESTERN CAPE,NEW VISION PARTY,26,less than 39,Male
MAVKIND VUKUZA GCINUMZI MTULI,WESTERN CAPE,NEW VISION PARTY,24,less than 39,Male
PRINCESS NOMONDE MDLOKOLO,WESTERN CAPE,NEW VISION PARTY,61,60 - 79,Female
RAISIBE DINA LANGA,WESTERN CAPE,NEW VISION PARTY,56,39 - 59,Female
RAESETJA NERIA MPHELA,WESTERN CAPE,NEW VISION PARTY,40,39 - 59,Female
RAMEASELA MARY KEKANA,WESTERN CAPE,NEW VISION PARTY,69,60 - 79,Female
MOTLANALO CAROLINE MANAMELA,WESTERN CAPE,NEW VISION PARTY,36,less than 39,Female
MALESELA ANDRIES MEHLAPE,WESTERN CAPE,NEW VISION PARTY,35,less than 39,Male
PATEKILE ALBERT KALIPA,EASTERN CAPE,PAN AFRICANIST CONGRESS OF AZANIA,66,60 - 79,Male
MOEKETSI HENDREY MATSOBANE,FREE STATE,PAN AFRICANIST CONGRESS OF AZANIA,35,less than 39,Male
DISENTE THOMAS RAMATSWI,GAUTENG,PAN AFRICANIST CONGRESS OF AZANIA,43,39 - 59,Male
SIPHO JOHANNES SWELINKOMO,GAUTENG,PAN AFRICANIST CONGRESS OF AZANIA,32,less than 39,Male
NELSON FEZEKILE NTULO,KWAZULU-NATAL,PAN AFRICANIST CONGRESS OF AZANIA,48,39 - 59,Male
SEROPANE SENYANE ALTON MPHETHI,MPUMALANGA,PAN AFRICANIST CONGRESS OF AZANIA,43,39 - 59,Male
JABULANI AMOS MAOLELE,MPUMALANGA,PAN AFRICANIST CONGRESS OF AZANIA,40,39 - 59,Male
JONGIKAYA GWE,NORTHERN CAPE,PAN AFRICANIST CONGRESS OF AZANIA,38,less than 39,Male
MAGEZI STEVEN MALULEKE,LIMPOPO,PAN AFRICANIST CONGRESS OF AZANIA,43,39 - 59,Male
OMPHEMETSE KEVIN BAREKI,NORTH WEST,PAN AFRICANIST CONGRESS OF AZANIA,27,less than 39,Male
MIZUVUKILE SAMUEL SOMPETA,WESTERN CAPE,PAN AFRICANIST CONGRESS OF AZANIA,42,39 - 59,Male
THOMAS NGWANE,WESTERN CAPE,PAN AFRICANIST CONGRESS OF AZANIA,55,39 - 59,Male
ZIMASA MATYUNJWA,EASTERN CAPE,PAN AFRICANIST MOVEMENT,38,less than 39,Male
NOMBULELO TABITA SOLUNDWANA,GAUTENG,PAN AFRICANIST MOVEMENT,63,60 - 79,Female
SEABATA AZAEL MAKUBO,KWAZULU-NATAL,PAN AFRICANIST MOVEMENT,40,39 - 59,Male
THABO SAFRED MANAMELA,NORTH WEST,PAN AFRICANIST MOVEMENT,62,60 - 79,Male
MONWABISI MACTIGUE MAGADLA,WESTERN CAPE,PAN AFRICANIST MOVEMENT,37,less than 39,Male
SIBUSISO PETROS NZUZA,KWAZULU-NATAL,SOUTH AFRICAN DEMOCRATIC CONGRESS,43,39 - 59,Male
MZWANDILE JAMES MDODANA,EASTERN CAPE,UNITED CHRISTIAN DEMOCRATIC PARTY,46,39 - 59,Male
RABANNYE HERRY WILSON MELAMU,FREE STATE,UNITED CHRISTIAN DEMOCRATIC PARTY,62,60 - 79,Male
BENJAMIN JEREMIAH MASILO,GAUTENG,UNITED CHRISTIAN DEMOCRATIC PARTY,62,60 - 79,Male
TEBOGO EPHRAIM MOTLOUNG,GAUTENG,UNITED CHRISTIAN DEMOCRATIC PARTY,32,less than 39,Male
MESHACK LEBONE PHAGE,GAUTENG,UNITED CHRISTIAN DEMOCRATIC PARTY,55,39 - 59,Male
MMAPULE REBECCA MAATSANA,GAUTENG,UNITED CHRISTIAN DEMOCRATIC PARTY,63,60 - 79,Female
THABISO JONATHAN MOALUSI,KWAZULU-NATAL,UNITED CHRISTIAN DEMOCRATIC PARTY,55,39 - 59,Male
MODIRAPULA PATRICK MOKOMELE,NORTHERN CAPE,UNITED CHRISTIAN DEMOCRATIC PARTY,52,39 - 59,Male
LANGANANI SAMUEL SIMALI,LIMPOPO,UNITED CHRISTIAN DEMOCRATIC PARTY,43,39 - 59,Male
IPUSENG CELIA DITSHETELO,NORTH WEST,UNITED CHRISTIAN DEMOCRATIC PARTY,67,60 - 79,Female
ANTHONIA ANDRECIA LE HOE,WESTERN CAPE,UNITED CHRISTIAN DEMOCRATIC PARTY,38,less than 39,Female
BONGA MNGUPANE,WESTERN CAPE,UNITED CHRISTIAN DEMOCRATIC PARTY,24,less than 39,Male
LENNOX BOGEN GAEHLER,EASTERN CAPE,UNITED DEMOCRATIC MOVEMENT,58,39 - 59,Male
KHAYALETHU TATANI,EASTERN CAPE,UNITED DEMOCRATIC MOVEMENT,36,less than 39,Male
SIMON WELANI SAULE,FREE STATE,UNITED DEMOCRATIC MOVEMENT,44,39 - 59,Male
JOSÄ FERNANDO BARRADAS,GAUTENG,UNITED DEMOCRATIC MOVEMENT,48,39 - 59,Male
SIDNEY LAMYENI MAJIYEZI,GAUTENG,UNITED DEMOCRATIC MOVEMENT,51,39 - 59,Male
MUHAMMAD ISMAIL OMAR,KWAZULU-NATAL,UNITED DEMOCRATIC MOVEMENT,40,39 - 59,Male
ZACARIA VUSI NGOMANE,MPUMALANGA,UNITED DEMOCRATIC MOVEMENT,47,39 - 59,Male
ZOLISA LAVISA,NORTHERN CAPE,UNITED DEMOCRATIC MOVEMENT,62,60 - 79,Male
AVHASEI EDWARD RAMUDINGANE,LIMPOPO,UNITED DEMOCRATIC MOVEMENT,53,39 - 59,Male
STOFFEL RAPULA MOSEBO,NORTH WEST,UNITED DEMOCRATIC MOVEMENT,54,39 - 59,Male
DUMISANI LIVINGSTONE XIMBI,WESTERN CAPE,UNITED DEMOCRATIC MOVEMENT,49,39 - 59,Male
MATOME JOEL MALATJI,LIMPOPO,UNITED INDEPENDENT FRONT,43,39 - 59,Male
PILOT SKOFULA NKOSI,LIMPOPO,UNITED INDEPENDENT FRONT,35,less than 39,Male
NOMBASA BENEDICTA MHLATI,WESTERN CAPE,UNITED INDEPENDENT FRONT,39,39 - 59,Female
PETRUS JOHANNES JAKOBUS JONKER,EASTERN CAPE,VRYHEIDSFRONT PLUS,42,39 - 59,Male
ALMARI STRYDOM,FREE STATE,VRYHEIDSFRONT PLUS,23,less than 39,Female
FREDERIK GERHARDUS WOLMARANS,GAUTENG,VRYHEIDSFRONT PLUS,70,60 - 79,Male
LOUWRETTA MARYNA JACOBS,GAUTENG,VRYHEIDSFRONT PLUS,50,39 - 59,Female
MARCUS CHRISTIAAN PAWSON,GAUTENG,VRYHEIDSFRONT PLUS,23,less than 39,Male
FREDERIK WILHELMUS VAN WYK,GAUTENG,VRYHEIDSFRONT PLUS,50,39 - 59,Male
JOHANNA CATHERINA SNYMAN,GAUTENG,VRYHEIDSFRONT PLUS,46,39 - 59,Female
JAN ALBERTUS STEENKAMP,GAUTENG,VRYHEIDSFRONT PLUS,63,60 - 79,Male
CASPER FRANCOIS CALITZ,KWAZULU-NATAL,VRYHEIDSFRONT PLUS,46,39 - 59,Male
CORNELIA PETRONELLA VENTER,KWAZULU-NATAL,VRYHEIDSFRONT PLUS,59,39 - 59,Female
JOHAN DIETLOF AEGIDIUS BLIGNAUT,MPUMALANGA,VRYHEIDSFRONT PLUS,57,39 - 59,Male
BERNARD HARLEY,MPUMALANGA,VRYHEIDSFRONT PLUS,65,60 - 79,Male
HESTER MARGARETHA DU PLESSIS,NORTHERN CAPE,VRYHEIDSFRONT PLUS,24,less than 39,Female
WILLIAM JAMES MARKRAM,NORTHERN CAPE,VRYHEIDSFRONT PLUS,62,60 - 79,Male
JOHANNES GERHARDUS STANDER,NORTHERN CAPE,VRYHEIDSFRONT PLUS,60,60 - 79,Male
LOUIS GUSTAVUS TRICHARDT,LIMPOPO,VRYHEIDSFRONT PLUS,74,60 - 79,Male
LIZA NEL,LIMPOPO,VRYHEIDSFRONT PLUS,24,less than 39,Female
JOHANNES FRANCOIS SCHUTTE,NORTH WEST,VRYHEIDSFRONT PLUS,66,60 - 79,Male
JACOB DIEDERIK SMIT,WESTERN CAPE,VRYHEIDSFRONT PLUS,63,60 - 79,Male
ANTHONY PENDERIS,National,A PARTY,57,39 - 59,Male
JEREMIAH KEKANA,National,A PARTY,47,39 - 59,Male
THEMBINKOSI MASINGA,National,A PARTY,35,less than 39,Male
MARIA LOUISA CARTER,National,A PARTY,67,60 - 79,Female
MZWANELE ZULU,National,A PARTY,35,less than 39,Male
TSHIFHIWA SAMUEL MAKHALE,National,A PARTY,51,39 - 59,Male
GERT PETRUS ALBERTUS BOOYSEN,National,A PARTY,57,39 - 59,Male
SHARON PATRICIA PENDERIS,National,A PARTY,58,39 - 59,Female
EMILE LOUW JOUBERT,National,A PARTY,46,39 - 59,Male
ALMA DU PLESSIS,National,A PARTY,45,39 - 59,Female
NAOMI HENRIETTA MALGAS,National,A PARTY,37,less than 39,Female
MASILONYONE PAULUS PAKATITA,National,A PARTY,63,60 - 79,Male
BAWINILE WINNIE CHAVUMA,National,A PARTY,36,less than 39,Female
ALEYMARIA MALEFU MAQENA-POTSANE,National,A PARTY,51,39 - 59,Female
WILLIAM MBAZIMA MAPALWENI,National,A PARTY,34,less than 39,Male
LYDIA MOKOENA,National,A PARTY,31,less than 39,Female
MAPITLE SAMUEL MHLANGA,National,A PARTY,58,39 - 59,Male
MANONI MONYAI,National,A PARTY,65,60 - 79,Female
BETTY SELLO,National,A PARTY,76,60 - 79,Female
AGNES CHAUKE,National,A PARTY,46,39 - 59,Female
TSHIMANGADZO ISAAC MAKHALE,National,A PARTY,27,less than 39,Male
LESIBA TIGH LEBELO,National,A PARTY,49,39 - 59,Male
STANLEY VAN DER BERG,National,A PARTY,59,39 - 59,Male
ROSELINE NKOSI,National,A PARTY,65,60 - 79,Female
MARGARET ANN MCGREGOR GIARDINI,National,A PARTY,52,39 - 59,Female
MUDZUNGA MULALO MAFADZA,National,A PARTY,24,less than 39,Female
TSHILIDZI GRACE KHARIBE,National,A PARTY,44,39 - 59,Female
MASHUDU SYLVIA MADZUHE,National,A PARTY,37,less than 39,Female
AZWINNDINI PATRICK NEVHUFUMBA,National,A PARTY,42,39 - 59,Male
AVHAPFANI STANLEY RATSHILUMELA,National,A PARTY,34,less than 39,Male
SIMPHIWE KAGISO XOLANI SEGAETSHO,National,A PARTY,28,less than 39,Male
NIMROD MAZIZI FIGLAN,National,A PARTY,47,39 - 59,Male
AVHASEI DORAH MUNZHELELE,National,A PARTY,34,less than 39,Female
THANYANI TSHIVHASE,National,A PARTY,28,less than 39,Female
MLUNGISI DANIEL TSEDU,National,A PARTY,51,39 - 59,Male
CHARLES WINSTON BOYLES,National,A PARTY,49,39 - 59,Male
LAWSON DOUGLAS CRAVEN,National,A PARTY,57,39 - 59,Male
THERESA ANN BOYLES,National,A PARTY,51,39 - 59,Female
SIDNEY MNCEDISI MBALO,National,A PARTY,45,39 - 59,Male
LUTANDO NDABAMBI,National,A PARTY,32,less than 39,Male
NOMPUMELELO POTWANA,National,A PARTY,25,less than 39,Female
GLORY MUTUVHIWA MADZUHE,National,A PARTY,27,less than 39,Female
MUOFHE JEANETH MUKWEVHO,National,A PARTY,32,less than 39,Female
AZWIHANGWISI MARCIA NEMARANZHE,National,A PARTY,28,less than 39,Female
MAANDA MICHAEL MATHOHO,National,A PARTY,25,less than 39,Male
CLIFFORD ADVICE MKHONTO,National,A PARTY,28,less than 39,Male
NTHAMBELENI MAVIS MAKHWATHANI,National,A PARTY,50,39 - 59,Female
BETTY RANDIMA,National,A PARTY,19,less than 39,Female
RUDZANI GOGORO,National,A PARTY,28,less than 39,Female
LIVHUWANI JEREMIAH MUKWEVHO,National,A PARTY,35,less than 39,Male
AVHASHONI JEFFREY MAKHWATHANE,National,A PARTY,24,less than 39,Male
AZWIHANGWISI GLADYS RATSHILUMELA,National,A PARTY,52,39 - 59,Female
MAKONDELELE KENNETH THEMELI,National,A PARTY,44,39 - 59,Male
NDILENI EDWIN RATSHILUMELA,National,A PARTY,57,39 - 59,Male
NKHUMELELNI AGNES MUDUBU,National,A PARTY,34,less than 39,Female
TSHILILO GEORGE RAMMETHELI,National,A PARTY,57,39 - 59,Male
THEMELI JOHN SINGO,National,A PARTY,52,39 - 59,Male
KANAKANA SALPHINA NEMARANZHE,National,A PARTY,29,less than 39,Female
MMBOSWOBENI SALTHIEL MATAMELA,National,A PARTY,30,less than 39,Male
KENNETH RASELABE JOSEPH MESHOE,National,AFRICAN CHRISTIAN DEMOCRATIC PARTY,55,39 - 59,Male
RENEN VAN NIEKERK,National,AFRICAN CHRISTIAN DEMOCRATIC PARTY,50,39 - 59,Male
BUSISIWE HELEN BALOYI,National,AFRICAN CHRISTIAN DEMOCRATIC PARTY,55,39 - 59,Female
CHARLES MATSOBANE GOLOLO,National,AFRICAN CHRISTIAN DEMOCRATIC PARTY,51,39 - 59,Male
TANKISO JOHANNES VILAKAZI,National,AFRICAN CHRISTIAN DEMOCRATIC PARTY,33,less than 39,Male
DAVID LLEWELLYN FRITZ,National,AFRICAN CHRISTIAN DEMOCRATIC PARTY,46,39 - 59,Male
MMATSHOENE SOLOMON MABOYA,National,AFRICAN CHRISTIAN DEMOCRATIC PARTY,43,39 - 59,Male
MOLATLHEGI REUBEN SENOKWANE,National,AFRICAN CHRISTIAN DEMOCRATIC PARTY,35,less than 39,Male
SELLO PETRUS LEFINE,National,AFRICAN CHRISTIAN DEMOCRATIC PARTY,34,less than 39,Male
MARIAH LEMPE,National,AFRICAN CHRISTIAN DEMOCRATIC PARTY,34,less than 39,Female
CHARL FRANCOIS VAN WYK,National,AFRICAN CHRISTIAN DEMOCRATIC PARTY,60,60 - 79,Male
TILA ELIZABETH MAGANYANE,National,AFRICAN CHRISTIAN DEMOCRATIC PARTY,55,39 - 59,Female
PHUTI PIET CHOSHI,National,AFRICAN CHRISTIAN DEMOCRATIC PARTY,47,39 - 59,Male
BAITSENG LILLIAN NTEMBE,National,AFRICAN CHRISTIAN DEMOCRATIC PARTY,47,39 - 59,Female
GWENDOLINE ROCHELLE NEL,National,AFRICAN CHRISTIAN DEMOCRATIC PARTY,35,less than 39,Female
RAYMOND XAZANA,National,AFRICAN CHRISTIAN DEMOCRATIC PARTY,26,less than 39,Male
JACOB GEDLEYIHLEKISA ZUMA,National,AFRICAN NATIONAL CONGRESS,67,60 - 79,Male
NOZIZWE CHARLOTTE ROUTLEDGE,National,AFRICAN NATIONAL CONGRESS,57,39 - 59,Female
ENOCH GODONGWANA,National,AFRICAN NATIONAL CONGRESS,52,39 - 59,Male
SUSAN COMBER VAN DER MERWE,National,AFRICAN NATIONAL CONGRESS,55,39 - 59,Female
MATHUME JOSEPH PHAAHLA,National,AFRICAN NATIONAL CONGRESS,52,39 - 59,Male
MILDRED NELISIWE OLIPHANT,National,AFRICAN NATIONAL CONGRESS,50,39 - 59,Female
THEMBELANI WALTERMADE NXESI,National,AFRICAN NATIONAL CONGRESS,50,39 - 59,Male
MMAMOLOKO TRYPHOSA KUBAYI,National,AFRICAN NATIONAL CONGRESS,31,less than 39,Female
SIVAPRAGAS MARIMUTHU PILLAY,National,AFRICAN NATIONAL CONGRESS,50,39 - 59,Male
GERTROEDH SAAL,National,AFRICAN NATIONAL CONGRESS,44,39 - 59,Female
SIYABONGA CYPRIAN CWELE,National,AFRICAN NATIONAL CONGRESS,51,39 - 59,Male
ALEXIA ZINTLE NDLAZI,National,AFRICAN NATIONAL CONGRESS,54,39 - 59,Female
FEZILE BHENGU,National,AFRICAN NATIONAL CONGRESS,55,39 - 59,Male
LINDIWE CHRISTABOLA BEBEE,National,AFRICAN NATIONAL CONGRESS,53,39 - 59,Female
SABHINA ALETTA MANZINI,National,AFRICAN NATIONAL CONGRESS,37,less than 39,Female
JOEL MBHAZIMA SIBIYA,National,AFRICAN NATIONAL CONGRESS,56,39 - 59,Male
NELSON THEMBA GODI,National,AFRICAN PEOPLE'S CONVENTION,43,39 - 59,Male
MOLOKO MICHAEL MPOLOBOSHO,National,AFRICAN PEOPLE'S CONVENTION,40,39 - 59,Male
LUCKY HENDRICK DLAMINI,National,AFRICAN PEOPLE'S CONVENTION,46,39 - 59,Male
MUDADZHO WILLIE TSHIDADA,National,AFRICAN PEOPLE'S CONVENTION,39,39 - 59,Male
TANDUXOLO MBASA,National,AFRICAN PEOPLE'S CONVENTION,35,less than 39,Male
SIYABULELA MATEZA,National,AFRICAN PEOPLE'S CONVENTION,38,less than 39,Male
BONISIWE PRISCAH SIKHAKHANE,National,AFRICAN PEOPLE'S CONVENTION,23,less than 39,Female
MAMPSHE JACKSON SEKATIKE,National,AFRICAN PEOPLE'S CONVENTION,57,39 - 59,Male
MOGAMAD GANIEF EBRAHIM HENDRICKS,National,AL JAMA-AH,60,60 - 79,Male
ABDUL GAMIET FLACKS,National,AL JAMA-AH,60,60 - 79,Male
ABDURAGIEM ABDEROEF,National,AL JAMA-AH,53,39 - 59,Male
MOGAMAT BEDFORD,National,AL JAMA-AH,76,60 - 79,Male
ABDUL KARRIEM BEDFORD,National,AL JAMA-AH,49,39 - 59,Male
BIENIEYAMIEN ALEXANDER,National,AL JAMA-AH,61,60 - 79,Male
SULAIMAN ADAMS,National,AL JAMA-AH,62,60 - 79,Male
